market_ticker,series,family,class,timestamp,track,arm,prior_outcome,streak_direction,streak_length,strike,spot,z_dir,model_prob_yes,market_yes_bid,market_yes_ask,exec_price,edge,fee,slippage,side,size,kelly_units,resolution,gross_pnl,net_pnl,split
KXMLBTOTAL-26AUG231910ATLMIL-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-24T01:19:33Z,A,A0_mirror,no,no,1,7.5,,,0.551732,25,26,75,-33.1732,2,1,no,1,4,no,25,22,holdout
KXMLBTOTAL-26AUG231910ATLMIL-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-24T01:19:33Z,A,A0_mirror,no,no,2,8.5,,,0.469713,17,19,83,-31.9713,1,1,no,1,4,no,17,15,holdout
KXMLBTOTAL-26AUG241840TBDET-2,KXMLBTOTAL,KXMLBTOTAL|2,BASEBALL_TOTAL,2026-08-24T22:04:35Z,A,A0_mirror,yes,yes,12,1.5,,,0.902387,97,98,98,-9.7613,1,1,yes,1,1,yes,2,0,holdout
KXMLBTOTAL-26AUG241840TBDET-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-24T22:54:28Z,A,A0_mirror,yes,yes,5,3.5,,,0.885006,98,99,99,-12.4994,1,1,yes,1,1,yes,1,-1,holdout
KXMLBTOTAL-26AUG241845COLWSH-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-24T23:30:17Z,A,A0_mirror,yes,yes,6,3.5,,,0.885006,79,82,21,-12.5006,2,1,no,1,4,yes,-21,-24,holdout
KXMLBTOTAL-26AUG241845COLWSH-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-24T23:30:17Z,A,A0_mirror,yes,yes,2,4.5,,,0.840914,71,72,29,-16.0914,2,1,no,1,4,yes,-29,-32,holdout
KXMLBTOTAL-26AUG241845COLWSH-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-24T23:30:17Z,A,A0_mirror,yes,yes,1,5.5,,,0.739294,58,59,42,-18.9294,2,1,no,1,4,yes,-42,-45,holdout
KXMLBTOTAL-26AUG241845COLWSH-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-24T23:30:17Z,A,A0_mirror,no,no,2,6.5,,,0.670567,49,50,51,-21.0567,2,1,no,1,4,yes,-51,-54,holdout
KXMLBTOTAL-26AUG241845COLWSH-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-24T23:56:32Z,A,A0_mirror,no,no,1,9.5,,,0.392086,14,15,86,-27.2086,1,1,no,1,3,yes,-86,-88,holdout
KXMLBTOTAL-26AUG241845COLWSH-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-24T23:56:32Z,A,A0_mirror,no,no,2,7.5,,,0.551732,29,30,71,-29.1732,2,1,no,1,4,yes,-71,-74,holdout
KXMLBTOTAL-26AUG241845COLWSH-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-24T23:56:32Z,A,A0_mirror,no,no,3,8.5,,,0.469713,23,24,77,-26.9713,2,1,no,1,3,yes,-77,-80,holdout
KXMLBTOTAL-26AUG241940TEXCWS-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-25T00:04:38Z,A,A0_mirror,yes,yes,2,5.5,,,0.739294,88,90,90,-18.0706,1,1,yes,1,1,yes,10,8,holdout
KXMLBTOTAL-26AUG241940TEXCWS-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-25T00:04:38Z,A,A0_mirror,yes,yes,1,6.5,,,0.670567,80,83,83,-17.9433,1,1,yes,1,2,yes,17,15,holdout
KXMLBTOTAL-26AUG241840BOSMIA-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-25T00:14:28Z,A,A0_mirror,yes,yes,8,3.5,,,0.885006,77,78,23,-14.5006,2,1,no,1,4,yes,-23,-26,holdout
KXMLBTOTAL-26AUG241845COLWSH-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-25T00:14:29Z,A,A0_mirror,no,no,1,10.5,,,0.321956,10,11,90,-24.1956,1,1,no,1,2,yes,-90,-92,holdout
KXMLBTOTAL-26AUG241845COLWSH-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-25T00:14:29Z,A,A0_mirror,no,no,1,11.5,,,0.269824,5,7,95,-23.9824,1,1,no,1,2,yes,-95,-97,holdout
KXMLBTOTAL-26AUG241840TBDET-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-25T00:24:30Z,A,A0_mirror,yes,yes,3,5.5,,,0.739294,82,83,83,-11.0706,1,1,yes,1,1,no,-83,-85,holdout
KXMLBTOTAL-26AUG241840TBDET-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-25T00:24:30Z,A,A0_mirror,yes,yes,1,7.5,,,0.551732,44,45,56,-14.1732,2,1,no,1,2,no,44,41,holdout
KXMLBTOTAL-26AUG241840TBDET-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-25T00:24:31Z,A,A0_mirror,yes,yes,1,9.5,,,0.392086,20,22,80,-22.2086,2,1,no,1,2,no,20,17,holdout
