# ops request [READ]
# type=db  id=k-fit-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:35:19Z
series                      contests  losses  entry  awin     aloss   
KXGOOGSHARE                 1         0       18.5   61.03            
KXHORMUZPEAK                1         0       18.5   34.00            
KXUST10AD                   1         0       7.0    13.78            
KXWCAST                     1         0       12.1   1514.00          
KXNCAAF3Q                   1         0       7.0    34.45            
KXMLSBTTS                   1         0       41.0   40.58            
KXTRUMPENDORSEMENTS         1         1       6.5             -187.21 
KXSVK2LTOTAL                1         0       9.3    36.42            
KXNASCARTOP3                1         0       9.3    27.56            
KXNFLTD                     1         0       7.3    57.08            
KXIDNSLGAME                 1         0       16.1   43.50            
KXNCAAF1H                   1         0       11.0   10.83            
KXRAINDENM                  1         0       11.0   32.51            
KXMLBHRDERBY500             1         0       14.5   278.00           
KXVENFUTVEGAME              1         0       8.0    28.00            
KXBTCMAXMON                 1         1       9.1             -1976.87
KXLEAVEGROUPKATSEYE         1         0       7.0    20.67            
KXCPINDEX                   1         0       20.6   396.00           
KXAMZNCC                    1         1       24.7            -414.30 
KXSILVERMON                 1         0       14.8   234.62           
KXENGCSSCORE                1         0       7.3    116.48           
KXMLBHRDERBYMATCHUP         1         0       10.0   3.00             
KXECONSTATCPICORE           1         0       10.3   64.00            
KXLVAVIRGAME                1         0       16.9   48.19            
KXCPICOREYOY                1         0       13.5   170.00           
KXNATGASW                   1         0       37.0   97.86            
KXWCATTEND                  1         1       10.8            -801.00 
KXMLBHRDERBYFORECAST        1         0       12.3   256.00           
KXSTEALTHSHARE              1         0       19.9   50.19            
KXARGPREMDIVSPREAD          1         0       93.0   6.89             
KXEREDIVISIESPREAD          1         0       11.7   17.00            
KXYTTOPVIDEO2D              1         1       10.6            -289.00 
KXEPLGOAL                   1         0       7.1    104.33           
KXTRUMPACT                  1         0       6.6    58.03            
KXLALIGA1H                  1         0       35.3   17.70            
KXWNBA2QSPREAD              1         0       10.0   53.00            
KXCBDISRAEL                 1         1       11.3            -266.52 
KXXRPMAXMON                 1         1       10.1            -1091.58
KXNCAAF1QSPREAD             1         0       14.0   55.16            
KXMAMDANIMENTION            1         0       11.6   126.23           
KXENGCSSPREAD               1         0       6.7    39.34            
KXENGNLGAME                 1         0       19.3   86.69            
KXCOD                       1         0       12.9   221.00           
KXAAAGASDOH                 1         0       10.0   9.84             
KXHNLTOTAL                  1         0       8.0    15.74            
KXECONSTATCORECPIYOY        1         0       12.0   181.90           
KXKASHOUT                   1         0       5.0    28.00            
KXMLBHRDERBY                1         1       12.3            -110.00 
KXNJGOLFVISITCOUNT          1         0       32.0   31.62            
KXUEFASCGAME                1         0       22.0   43.40            
KXCOPPAITALIA1HTOTAL        1         1       11.8            -153.72 
KXMLBHRDERBYSEMI            1         0       17.4   13.00            

(534 rows)
