# ops request [READ]
# type=db  id=cc-g2-chk14
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-08T07:14:48Z
what             k                                             v                                    
---------------  --------------------------------------------  -------------------------------------
A_realized_0908  Emmsell10                                     0.0689 n=1                           
A_realized_0908  Fmmsell10                                     0.7872 n=12                          
A_realized_0908  Fmmsell10_pt4                                 0.8463 n=12                          
B_live_orders    canceled                                      21                                   
B_live_orders    filled                                        46                                   
B_live_orders    resting                                       3                                    
C_open_pos       Emmsell10                                     18                                   
C_open_pos       Fmmsell10                                     28                                   
C_open_pos       Fmmsell10_pt4                                 28                                   
C_open_pos       mmsell10                                      85                                   
D_integrity_err  EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                          
E_funnel         06:35                                         F=0 opened=17 ccap=63 tier=0 paused=0
E_funnel         07:07                                         F=0 opened=5 ccap=58 tier=0 paused=0 

(13 rows)
