# ops request [READ]
# type=script  id=audit-rules-full
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:01:42Z
# SERIES RULES AUDIT
# audited 138 graduated series | CONFIRMS=118 CONTRADICTS=4 INSUFFICIENT=16
# NOT A GATE. Emits evidence; a human's PR against the manifest records the review.
# Only CONFIRMS may be written as rules_reviewed_at — see --emit-patch.

## CONTRADICTS (4) — the recorded settlement mode is WRONG — read these first
  series                   recorded   implied    docs  mkts  why
  KXLIGAMXSPREAD           in_play    in_play       8     8  rules text agree with the recorded in_play
  KXLIGAMXTOTAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXLOLGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXLOLMAP                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXLPGATOUR               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBF5                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBF5SPREAD            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBF5TOTAL             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBHIT                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBHR                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBHRR                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBKS                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBSPREAD              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBTB                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBTEAMTOTAL           in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLBTOTAL               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLSGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLSSCORE               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLSSPREAD              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXMLSTOTAL               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNASDAQ100U             scheduled  scheduled     8     8  rules text agree with the recorded scheduled
  KXNATGASD                scheduled  scheduled     8     8  rules text agree with the recorded scheduled
  KXNBASUMMERGAME          in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNFLGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
