# ops request [READ]
# type=db  id=limm-watch-23
# code 82e3240bf821c010610610c25ec33d14e10d9a22 · started 2026-09-19T08:46:56Z
g  t                              b       c                             d    e   f        h       
-  -----------------------------  ------  ----------------------------  ---  --  -------  --------
1  2026-09-18 18:21:03.428944+00  Alimm1  KXRT-RES-94                   no   10  1        filled  
1  2026-09-18 17:33:50.712585+00  Alimm1  KXRT-RES-93                   no   3   1        filled  
1  2026-09-18 14:48:49.863864+00  Alimm1  KXTRUMPAPPROVE-26SEP18-E39.4  yes  1   1        filled  
1  2026-09-18 06:00:04.793171+00  Alimm1  KXUSLEI-26SEP18-T0.2          yes  5   1        filled  
1  2026-09-18 00:08:31.254676+00  Alimm1  KXAAAGASDAZ-26SEP18-4.6800    yes  1   1        canceled
2  2026-09-19 08:44:31.202878+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000  
2  2026-09-19 08:44:31.201282+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1.0000   0.0000  
2  2026-09-19 08:44:31.195739+00  pos     KXRT-RES-97                   no   -1  93.0000  0.0000  
2  2026-09-19 08:44:31.194494+00  pos     KXRT-RES-94                   no   -1  10.0000  0.0000  
2  2026-09-19 08:44:31.193017+00  pos     KXRT-RES-93                   no   -1  3.0000   0.0000  
2  2026-09-19 08:41:59.142461+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000  
3  2026-09-19 08:15:09.613396+00  mmsell  Fmmsell10                     no   94  1        filled  
3  2026-09-19 08:14:41.387986+00  mmsell  Fmmsell10                     no   90  1        canceled
3  2026-09-19 07:42:25.500179+00  mmsell  Fmmsell10                     no   94  1        filled  

(14 rows)
