# ops request [READ]
# type=db  id=cc-g2-chk10
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T20:03:47Z
what              k                                             v                                    
----------------  --------------------------------------------  -------------------------------------
A_realized_today  Emmsell10                                     -0.7210                              
A_realized_today  Fmmsell10                                     -1.9045                              
A_realized_today  Fmmsell10_pt4                                 -1.6977                              
B_live_orders     canceled                                      14                                   
B_live_orders     filled                                        33                                   
B_live_orders     resting                                       6                                    
C_open_pos        Emmsell10                                     21                                   
C_open_pos        Emmsell10_pt4                                 19                                   
C_open_pos        Fmmsell10                                     34                                   
C_open_pos        Fmmsell10_pt4                                 34                                   
C_open_pos        mmsell10                                      110                                  
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                          
E_funnel          19:37                                         F=1 opened=47 ccap=71 tier=1 paused=0
F_pnl_hourly      18:00                                         0.0590 n=1                           
F_pnl_hourly      19:00                                         0.1770 n=3                           

(15 rows)
