# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXATPEXACTMATCH          filled    (null)                                                                                                                                                                                                    3    2026-08-12 23:39:31.295685+00  2026-09-06 18:19:31.634263+00
KXATPEXACTMATCH          rejected  Kalshi API error 404 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"user_not_found","message":"user not found","details":"Exchange user not found. For Predictions: reference documentatio…  1    2026-08-30 17:02:06.917228+00  2026-08-30 17:02:06.917228+00
KXATPGTOTAL              filled    (null)                                                                                                                                                                                                    1    2026-08-17 21:36:13.252758+00  2026-08-17 21:36:13.252758+00
KXATPMATCH               filled    (null)                                                                                                                                                                                                    19   2026-07-13 13:51:34.562204+00  2026-09-04 00:34:43.415146+00
KXATPMATCH               canceled  (null)                                                                                                                                                                                                    2    2026-08-11 19:01:28.824272+00  2026-09-03 02:45:30.481794+00
KXATPMATCH               canceled  drain_unconfirmed                                                                                                                                                                                         1    2026-09-06 19:16:18.40731+00   2026-09-06 19:16:18.40731+00 
KXATPSETWINNER           filled    (null)                                                                                                                                                                                                    1    2026-08-09 02:16:40.346678+00  2026-08-09 02:16:40.346678+00
KXB200WS                 canceled  timeout                                                                                                                                                                                                   1    2026-08-11 05:10:33.554167+00  2026-08-11 05:10:33.554167+00
KXBELGIANPLGAME          rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 15:26:52.278033+00  2026-08-09 15:26:52.278033+00
KXBELGIANPLTOTAL         filled    (null)                                                                                                                                                                                                    3    2026-08-09 17:32:00.491165+00  2026-08-09 18:02:21.147872+00
KXBIGBROTHERELIMINATION  canceled  timeout                                                                                                                                                                                                   3    2026-08-10 01:48:33.26881+00   2026-08-15 04:19:46.807345+00
KXBIGBROTHERELIMINATION  filled    (null)                                                                                                                                                                                                    2    2026-08-15 14:17:29.548019+00  2026-09-02 11:46:25.631524+00
KXBIGBROTHERELIMINATION  canceled  book_stood_down                                                                                                                                                                                           1    2026-08-15 10:39:24.925353+00  2026-08-15 10:39:24.925353+00
KXBILLBOARDRUNNERUPSONG  filled    (null)                                                                                                                                                                                                    2    2026-08-15 07:29:16.767958+00  2026-08-15 12:57:17.041045+00
KXBRASILEIROBGAME        rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 15:26:51.261406+00  2026-08-09 15:26:51.261406+00
KXBRASILEIROBTOTAL       filled    (null)                                                                                                                                                                                                    1    2026-08-11 23:22:43.224029+00  2026-08-11 23:22:43.224029+00
KXBRASILEIROCTOTAL       canceled  (null)                                                                                                                                                                                                    1    2026-08-11 00:03:30.214433+00  2026-08-11 00:03:30.214433+00
KXBRASILEIROGAME         filled    (null)                                                                                                                                                                                                    4    2026-07-27 00:09:05.544329+00  2026-09-02 12:17:06.352851+00
KXBRASILEIROGAME         canceled  (null)                                                                                                                                                                                                    2    2026-08-30 15:59:17.787733+00  2026-08-30 15:59:19.858425+00
KXBRASILEIROGAME         rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 22:37:28.438768+00  2026-08-09 22:37:28.438768+00
KXBRASILEIROTOTAL        canceled  (null)                                                                                                                                                                                                    2    2026-08-09 20:44:07.015663+00  2026-08-10 00:11:09.932949+00
KXBRASILEIROTOTAL        filled    (null)                                                                                                                                                                                                    2    2026-08-09 15:26:49.961083+00  2026-08-16 15:47:48.756186+00
KXBRASILEIROTOTAL        rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 21:47:26.933172+00  2026-08-09 21:47:26.933172+00
KXBRENTD                 filled    (null)                                                                                                                                                                                                    8    2026-08-10 05:53:07.864143+00  2026-09-02 12:17:02.050989+00
KXBRENTD                 canceled  timeout                                                                                                                                                                                                   3    2026-08-12 16:34:46.07537+00   2026-09-02 11:46:22.473963+00
KXBRENTD                 canceled  (null)                                                                                                                                                                                                    1    2026-08-10 18:40:56.775225+00  2026-08-10 18:40:56.775225+00
