# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXETH                    filled    (null)                                                                                                                                                                                                    31   2026-08-01 18:31:44.538878+00  2026-08-19 18:34:12.262081+00
KXETH                    canceled  (null)                                                                                                                                                                                                    9    2026-08-03 13:34:08.298752+00  2026-08-19 16:44:23.721298+00
KXETH                    canceled  timeout                                                                                                                                                                                                   3    2026-08-11 15:00:50.403847+00  2026-08-17 15:33:17.037956+00
KXETH                    canceled  book_stood_down                                                                                                                                                                                           2    2026-08-14 14:02:05.117781+00  2026-08-15 12:16:25.217232+00
KXETHD                   filled    (null)                                                                                                                                                                                                    30   2026-08-01 18:31:43.643158+00  2026-08-19 17:38:11.275521+00
KXETHD                   canceled  timeout                                                                                                                                                                                                   3    2026-08-11 14:54:57.619503+00  2026-08-11 20:03:02.123916+00
KXETHD                   canceled  (null)                                                                                                                                                                                                    2    2026-08-11 15:39:34.171989+00  2026-08-19 16:29:58.620712+00
KXETHD                   rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   2    2026-08-11 13:40:02.925923+00  2026-08-12 13:36:26.641082+00
KXETHD                   canceled  book_stood_down                                                                                                                                                                                           1    2026-08-14 13:29:12.789862+00  2026-08-14 13:29:12.789862+00
KXETHMAXMON              filled    (null)                                                                                                                                                                                                    2    2026-08-18 08:39:38.307615+00  2026-08-19 15:41:38.859856+00
KXETHMAXMON              canceled  timeout                                                                                                                                                                                                   1    2026-08-18 04:26:08.757624+00  2026-08-18 04:26:08.757624+00
KXEURUSD                 rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-10 04:53:07.820415+00  2026-08-10 04:53:07.820415+00
KXEURUSD                 filled    (null)                                                                                                                                                                                                    1    2026-08-10 04:53:09.400768+00  2026-08-10 04:53:09.400768+00
KXEURUSDAW               canceled  timeout                                                                                                                                                                                                   1    2026-08-13 15:34:00.754049+00  2026-08-13 15:34:00.754049+00
KXFDAANNOUNCE            canceled  timeout                                                                                                                                                                                                   2    2026-08-19 05:45:03.455877+00  2026-08-19 09:57:52.029765+00
KXFED                    canceled  timeout                                                                                                                                                                                                   1    2026-07-17 22:03:40.739237+00  2026-07-17 22:03:40.739237+00
KXFEDDECISION            canceled  timeout                                                                                                                                                                                                   1    2026-07-17 20:31:15.258117+00  2026-07-17 20:31:15.258117+00
KXFEDMENTION             canceled  (null)                                                                                                                                                                                                    8    2026-07-29 18:41:45.318047+00  2026-07-29 19:13:04.455564+00
KXFEDMENTION             filled    (null)                                                                                                                                                                                                    5    2026-07-29 18:41:42.896083+00  2026-07-29 19:13:01.6091+00  
KXFEDMENTION             canceled  timeout                                                                                                                                                                                                   2    2026-09-07 02:08:28.024838+00  2026-09-07 06:35:22.36563+00 
KXFEDMENTION             resting   (null)                                                                                                                                                                                                    1    2026-09-07 10:53:05.490381+00  2026-09-07 10:53:05.490381+00
KXGEMINI                 canceled  timeout                                                                                                                                                                                                   3    2026-08-11 09:15:59.430244+00  2026-08-15 12:56:59.944797+00
KXGEMINI                 filled    (null)                                                                                                                                                                                                    2    2026-08-11 13:26:20.648238+00  2026-08-17 16:35:59.028639+00
KXGOLDD                  canceled  timeout                                                                                                                                                                                                   20   2026-08-09 02:48:31.071557+00  2026-08-13 14:25:52.815216+00
KXGOLDD                  filled    (null)                                                                                                                                                                                                    10   2026-08-10 13:08:15.463221+00  2026-08-13 06:22:23.079029+00
KXGOLDD                  rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   4    2026-08-09 02:16:38.104311+00  2026-08-10 01:15:47.333349+00
KXGOLDD                  canceled  (null)                                                                                                                                                                                                    1    2026-08-11 17:31:12.074473+00  2026-08-11 17:31:12.074473+00
KXGOLDMON                canceled  timeout                                                                                                                                                                                                   2    2026-08-18 03:56:08.92481+00   2026-08-28 21:51:38.22388+00 
KXGOLDW                  canceled  timeout                                                                                                                                                                                                   2    2026-08-13 05:52:05.737176+00  2026-08-13 06:22:53.024501+00
KXGOLDW                  canceled  book_stood_down                                                                                                                                                                                           1    2026-08-14 14:36:49.643837+00  2026-08-14 14:36:49.643837+00

(200 rows; output capped at 200 — refine the query for more)
