# latest deployment 363b5a3d-8fdc-4d87-821d-29646de87360 (status=SUCCESS, created=2026-09-07T01:44:37.044Z)
# ops request [READ]
# type=logs  service=main  id=cc-g2-logs
# code 1bdfc2b5bd000431c4b4055c3f1b1d65ecb7714b · started 2026-09-07T01:56:00Z
# target service: main
2026-09-07T01:52:45.908819192Z INFO  regime history capture
2026-09-07T01:52:45.908827742Z INFO  xgame collector: funnel/v1 state=NO_CANDIDATES first_zero=candidates fetched=NOT_RUN eligible=NOT_RUN candidates=0 actions=0 not_run=fetched,eligible kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
2026-09-07T01:53:55.909328308Z INFO  exchange status
2026-09-07T01:53:55.909332438Z WARN  drain cancel failed (4/5) for Emmsell10 01a07942-6308-7391-9a29-88f908931ebb: KalshiAPIError: Kalshi API error 404 on /trade-api/v2/portfolio/events/orders/01a07942-6308-7391-9a29-88f908931ebb: {"error":{"code":"not_found","message":"not found"}}
2026-09-07T01:53:55.909335618Z INFO  live drain: cancelled 0/1 resting orders (book_stood_down)
2026-09-07T01:55:25.967110998Z INFO  weather market
2026-09-07T01:55:25.967130028Z INFO  polymarket index
2026-09-07T01:55:25.967134648Z INFO  weather market
2026-09-07T01:55:25.967137798Z INFO  weather market
2026-09-07T01:55:25.967280026Z INFO  weather market
2026-09-07T01:55:25.967285666Z INFO  weather market
2026-09-07T01:55:25.967290346Z INFO  weather market
2026-09-07T01:55:25.968625098Z INFO  weather market
2026-09-07T01:55:25.968628068Z INFO  weather market
2026-09-07T01:55:25.968631428Z INFO  weather market
2026-09-07T01:55:25.968793826Z INFO  weather market
2026-09-07T01:55:25.968796776Z INFO  weather cycle
2026-09-07T01:55:25.968799636Z INFO  live cycle
2026-09-07T01:55:25.968802276Z INFO  weather validation
2026-09-07T01:55:27.877673313Z INFO  regime history capture
2026-09-07T01:55:29.630998394Z INFO  theta: shadow cost
2026-09-07T01:55:29.631003343Z INFO  theta book funnel/v1 state=NO_ELIGIBLE first_zero=eligible fetched=1416 eligible=0 candidates=0 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
