# ops request [READ]
# type=db  id=b2-metrics-1
# code 8e8bb39fc08e4cf248b9e7966796630f0c6de236 · started 2026-09-10T11:26:40Z
row                                                                                            
-----------------------------------------------------------------------------------------------
KXAAAGASD|311|71|13.4|-10.71|-33.30|20.26|7.895|83.930|24|6|6|2.96|83|-39.92|-7.01|6.21|16     
KXBTC|813|128|7.7|1.45|11.83|6.52|7.221|81.223|13|6|25|9.85|100|-9.61|0.00|6.62|10             
KXBTCD|2921|483|12.0|-0.68|-19.84|10.68|9.005|81.656|60|16|19|8.05|98|-200.47|-0.82|2.68|10    
KXETHD|425|83|12.2|-4.24|-18.00|12.71|8.378|90.897|22|3|12|3.77|82|-34.99|-11.10|5.36|10       
KXNASDAQ100U|313|101|11.9|8.11|25.38|1.60|9.335|67.364|13|1|23|7.77|92|-1.55|0.00|2.46|4       
KXNATGASD|350|92|11.5|7.75|27.12|0.00|7.749|0|9|0|30|10.22|89|0.00|0.00|6.89|10                
KXTRUTHSOCIAL|208|26|10.0|-9.89|-20.57|19.71|8.459|84.628|5|4|8|5.20|100|-20.71|0.00|3.40|5    
KXWNBASPREAD|1465|319|15.2|2.26|33.16|10.99|11.797|74.950|56|10|10|5.70|100|-50.16|0.00|3.79|11
KXWTAMATCH|828|392|19.4|2.74|22.66|12.08|13.432|75.125|307|76|2|1.28|28|-35.88|-23.05|1.24|4   
KXYTVIEWSW|193|47|13.6|12.35|23.84|0.00|12.350|0|17|0|7|2.76|76|0.00|0.00|1.00|1               

(10 rows)
