# ops request [READ]
# type=db  id=limm-fill-detail-1
# code dc8864849efe85fc9d10cb40d5c69e69a2412a9d · started 2026-09-18T00:26:55Z
src       created_at                        market_ticker               side  price   qty  status  pnl   
--------  --------------------------------  --------------------------  ----  ------  ---  ------  ------
position  2026-09-18 00:22:58.459123+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:22:58.452501+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-18 00:19:23.959825+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:19:23.957858+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-18 00:16:01.780622+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:16:01.778786+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-18 00:12:46.125758+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:12:46.124124+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-18 00:09:33.723762+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:09:33.722085+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
twin      2026-09-18 00:08:31.301059+00:00  KXAAAGASDAZ-26SEP18-4.6800  yes   1       1    open    -     
position  2026-09-18 00:06:22.739203+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:06:22.737363+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-18 00:02:06.070409+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-18 00:02:06.068460+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-17 23:58:55.223473+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-17 23:58:55.221450+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-17 23:56:12.081399+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-17 23:56:12.079669+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-17 23:53:11.755850+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-17 23:53:11.753535+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-17 23:50:14.234838+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-17 23:50:14.232734+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000
position  2026-09-17 23:47:25.643216+00:00  KXBIGGESTQUAKE-17SEP26-7.0  -     1.0000  1    -       0.0000
position  2026-09-17 23:47:25.641327+00:00  KXBIGGESTQUAKE-17SEP26-6.8  -     1.0000  1    -       0.0000

(25 rows)
