# ops request: type='db'
k                           v 
--------------------------  --
versions                    9 
epochs                      10
mmsell_type_tight_versions  1 
open_epochs_for_that_exp    1 
platform_snapshots          2 
integrity_events            6 
forced_activations          0 

(7 rows)
