# ops request: type='db'
strategy   series                     settled_markets  realized_dollars  avg_dollars
mmsell10a  KXCS2GAME                  1                0.07              0.0700     
mmsell10a  KXCOPPERD                  1                0.07              0.0700     
mmsell10a  KXCONMEBOLLIBGAME          1                0.07              0.0700     
mmsell10a  KXCOD                      1                0.07              0.0700     
mmsell10a  KXCLUBFSPREAD              1                0.07              0.0700     
mmsell10a  KXPGATOUR                  1                0.07              0.0688     
mmsell10a  KXPUREALBUMS               1                0.07              0.0700     
mmsell10a  KXNWSLGAME                 1                0.07              0.0700     
mmsell10a  KXSCOTTISHPREMTOTAL        1                0.07              0.0700     
mmsell10a  KXUCLSPREAD                1                0.07              0.0700     
mmsell10a  KXCHNSLTOTAL               1                0.07              0.0700     
mmsell10b  KXAPRPOTUS                 1                0.07              0.0700     
mmsell10a  KXMLBHIT                   1                0.07              0.0700     
mmsell10a  KXMLBF5                    1                0.07              0.0700     
mmsell10a  KXLNBPGAME                 1                0.07              0.0700     
mmsell10b  KXBRENTW                   1                0.07              0.0700     
mmsell10a  KXBRENTW                   1                0.07              0.0700     
mmsell10a  KXJLEAGUETOTAL             1                0.07              0.0700     
mmsell10b  KXETH                      1                0.07              0.0700     
mmsell10b  KXGEMINI                   1                0.07              0.0700     
mmsell10a  KXHORMUZWEEKLY             1                0.07              0.0700     
mmsell10a  KXETHD                     1                0.07              0.0700     
mmsell10b  KXYTTOPVIDEO2D             1                0.07              0.0700     
mmsell10   KXBTCD                     13               0.08              0.0062     
mmsell10a  KXEFLCUPTOTAL              1                0.09              0.0900     
mmsell10b  KXWNBAGAME                 1                0.09              0.0885     
mmsell10a  KXCHNSLSPREAD              1                0.09              0.0900     
mmsell10b  KXPGATOUR                  1                0.09              0.0885     
mmsell10b  KXUECLGAME                 1                0.09              0.0900     
mmsell10a  KXCPLMATCH                 1                0.09              0.0900     
mmsell10b  KXNFLPASSYDS               1                0.09              0.0900     
mmsell10b  KXECULPGAME                1                0.09              0.0900     
mmsell10a  KXCODGAME                  1                0.09              0.0900     
mmsell10a  KXYTVIEWSW                 1                0.09              0.0900     
mmsell10a  KXKFTOUR                   1                0.09              0.0900     
mmsell10a  KXECULPTOTAL               1                0.10              0.1000     
mmsell10a  KXARGNACBGAME              1                0.10              0.1000     
mmsell10a  KXBRASILEIROGAME           1                0.10              0.1000     
mmsell10a  KXBRASILEIROTOTAL          1                0.10              0.1000     
mmsell10a  KXEREDIVISIEGAME           1                0.10              0.1000     
mmsell10a  KXNASDAQ100                1                0.10              0.1000     
mmsell10a  KXUEFASCTOTAL              1                0.10              0.1000     
mmsell10a  KXWTADOUBLES               1                0.10              0.1000     
mmsell10b  KXATPEXACTMATCH            1                0.10              0.1000     
mmsell10b  KXDIMAYORGAME              1                0.10              0.1000     
mmsell10b  KXEREDIVISIEGAME           1                0.10              0.1000     
mmsell10b  KXEURUSD                   1                0.10              0.1000     
mmsell10b  KXLIVTOUR                  1                0.10              0.1000     
mmsell10b  KXRTX5090WS                1                0.10              0.1000     
mmsell10b  KXBRENTD                   2                0.11              0.0550     
mmsell10   KXLIGAMXGAME               1                0.12              0.1200     
Lmmsell10  KXCHNSLTOTAL               1                0.12              0.1200     
mmsell10   KXJLEAGUEGAME              1                0.12              0.1200     
Lmmsell10  KXALBUMEQUIV               1                0.12              0.1200     
Lmmsell10  KXINX                      1                0.12              0.1200     
Lmmsell10  KXBIGBROTHERELIMINATION    1                0.12              0.1200     
Lmmsell10  KXCS2GAME                  1                0.12              0.1200     
mmsell10a  KXUEFASCSCORE              2                0.12              0.0600     
Lmmsell10  KXKLEAGUEGAME              1                0.12              0.1200     
mmsell10   KXNFLSPREAD                1                0.12              0.1180     
mmsell10b  KXLEAGUESCUP1H             2                0.12              0.0600     
mmsell10a  KXCS2MAP                   2                0.12              0.0600     
Lmmsell10  KXKFTOUR                   1                0.12              0.1200     
mmsell10b  KXCS2GAME                  2                0.13              0.0650     
mmsell10a  KXT20MATCH                 2                0.13              0.0650     
mmsell10a  KXLIGAEXPGAME              2                0.13              0.0650     
mmsell10a  KXUCLTOTAL                 2                0.14              0.0700     
Lmmsell10  KXTOPMODEL                 1                0.14              0.1400     
Lmmsell10  KXTRUMPSAY                 1                0.14              0.1400     
Lmmsell10  KXUCLTOTAL                 1                0.14              0.1400     
mmsell10   KXWNBATOTAL                1                0.14              0.1400     
mmsell10   KXMLBGAME                  1                0.14              0.1377     
Lmmsell10  KXCLUBFSPREAD              1                0.14              0.1400     
Lmmsell10  KXEFLCHAMPIONSHIPTOTAL     1                0.14              0.1400     
mmsell10   KXKBOGAME                  1                0.14              0.1400     
Lmmsell10  KXLALIGATOTAL              2                0.14              0.0700     
mmsell10   KXEFLCHAMPIONSHIPGAME      1                0.14              0.1400     
mmsell10   KXECULPGAME                1                0.14              0.1400     
Lmmsell10  KXEREDIVISIEGAME           1                0.14              0.1400     
mmsell10   KXTOPMODEL                 1                0.14              0.1400     
Lmmsell10  KXAPRPOTUSD                1                0.14              0.1400     
mmsell10   KXBUNDESLIGA2GAME          1                0.14              0.1400     
mmsell10   KXBTCMAXMON                1                0.14              0.1400     
Lmmsell10  KXLIGAMXSPREAD             1                0.14              0.1400     
mmsell10   KXBRASILEIROGAME           1                0.14              0.1400     
Lmmsell10  KXLOLMAP                   1                0.14              0.1400     
Lmmsell10  KXBRASILEIROTOTAL          1                0.14              0.1400     
mmsell10   KXPGAHOLEINONE             1                0.14              0.1400     
mmsell10   KXAAAGASM                  1                0.14              0.1377     
Lmmsell10  KXMLSTOTAL                 1                0.14              0.1400     
mmsell10   KXWTI                      1                0.14              0.1400     
Lmmsell10  KXPERLIGA1GAME             1                0.14              0.1400     
mmsell10a  KXATPMATCH                 2                0.15              0.0738     
mmsell10a  KXCONMEBOLSUDGAME          2                0.16              0.0800     
mmsell10a  KXNFLTOTAL                 2                0.16              0.0787     
mmsell10b  KXT20MATCH                 2                0.16              0.0800     
Lmmsell10  KXPGATOUR                  1                0.16              0.1574     
mmsell10a  KXLEAGUESCUPSCORE          2                0.16              0.0800     
mmsell10a  KXEREDIVISIETOTAL          2                0.17              0.0850     
mmsell10a  KXBELGIANPLTOTAL           2                0.17              0.0850     
mmsell10a  KXWTAMATCH                 2                0.17              0.0836     
mmsell10b  KXETHD                     3                0.17              0.0567     

(200 rows; output capped at 200 — refine the query for more)
