# ops request [READ]
# type=db  id=cc-g2-chk3
# code 71458417f5045118a78ce255da1acbe2c30d929c · started 2026-09-07T04:29:31Z
what              k                                             v                                                
----------------  --------------------------------------------  -------------------------------------------------
A_realized_today  Emmsell10                                     0.0822                                           
A_realized_today  Fmmsell10                                     0.4328                                           
B_live_orders     canceled                                      2                                                
B_live_orders     filled                                        7                                                
B_live_orders     resting                                       5                                                
C_open_pos        Emmsell10                                     24                                               
C_open_pos        Emmsell10_pt4                                 21                                               
C_open_pos        Fmmsell10                                     15                                               
C_open_pos        Fmmsell10_pt4                                 15                                               
C_open_pos        mmsell10                                      83                                               
D_integrity_err   EXPERIMENT_CONFIG_DRIFT mmsell-price-ceiling  09-06 23:52                                      
E_funnel          03:59                                         F=0 Fpt=0 m10=5 opened=61 ccap=56 tier=0 paused=0

(12 rows)
